CRASH_RECORD_ID,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,TRAFFIC_CONTROL_DEVICE_FACTORISED,DEVICE_CONDITION_FACTORISED
1,1/3/2024 22:15,15,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ANIMAL,ALLEY,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,1,0,0,"$501 - $1,500",NOT APPLICABLE,NOT APPLICABLE,4400,W,BELMONT AVE,1731,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,16,6,12,41.93907041,-87.7370979,POINT (-87.737097898014 41.939070409301),0,0
2,1/3/2024 22:09,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,1,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,5233,W,IRVING PARK RD,1634,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,9,6,12,41.9531726,-87.75849178,POINT (-87.758491779984 41.953172594539),0,0
3,1/3/2024 21:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,1,0,1,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,FAILING TO REDUCE SPEED TO AVOID CRASH,800,W,LAKE ST,1214,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,11,6,12,41.88577328,-87.64753569,POINT (-87.647535691736 41.885773283507),1,1
4,1/3/2024 20:38,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,1,0,0,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,1600,N,CENTRAL PARK AVE,2535,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,9,6,12,41.91010411,-87.71682283,POINT (-87.716822830672 41.910104111678),1,1
5,1/3/2024 20:30,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,"$501 - $1,500",FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,7800,S,DR MARTIN LUTHER KING JR DR,623,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,6,12,41.75284645,-87.61514181,POINT (-87.615141807179 41.752846446926),0,0
6,1/3/2024 20:17,10,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,OTHER,0,STRAIGHT AND LEVEL,"SAND, MUD, DIRT","RUT, HOLES",NO INJURY / DRIVE AWAY,0,1,0,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,3611,S,NORMAL AVE,915,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,6,12,41.82856953,-87.63859706,POINT (-87.638597060348 41.828569531805),0,0
7,1/3/2024 19:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,1,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,800,N,KEDZIE AVE,1121,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,12,6,12,41.89561531,-87.70670533,POINT (-87.706705325106 41.895615313545),1,1
8,1/3/2024 19:00,30,OTHER,OTHER,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,UNKNOWN,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,1,0,0,"OVER $1,500",NOT APPLICABLE,NOT APPLICABLE,100,E,MONROE DR,114,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,6,12,41.8809385,-87.62427131,POINT (-87.624271308291 41.880938503879),2,2
9,1/3/2024 18:36,30,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,1,"OVER $1,500",NOT APPLICABLE,NOT APPLICABLE,4899,W,CHICAGO AVE,1531,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,4,12,41.89487599,-87.74813373,POINT (-87.748133732564 41.894875991213),3,3
10,1/3/2024 18:30,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,5600,N,AVONDALE AVE,1622,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,6,12,41.98288894,-87.7842611,POINT (-87.784261100094 41.982888940826),4,1
11,1/3/2024 18:15,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,1,"OVER $1,500",IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,5121,W,DIVERSEY AVE,2521,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,8,2,12,41.93131173,-87.75484417,POINT (-87.75484416577 41.931311726794),0,0
